experiment,dataset,jitter_value,n,dice_mean,dice_std,dice_delta_mean,dice_delta_std
translation,umud,0.075,100,0.597787961304629,0.07067724446390633,-0.007891441378429264,0.01772675524378622
translation,umud,0.1,100,0.5921150338536387,0.0741154982386563,-0.0135643688294195,0.0257931883428272
translation,umud,0.125,100,0.5838192809881977,0.08046055883835929,-0.021860121694860575,0.03691988774777539
translation,umud,0.15,100,0.5747531461430601,0.09056833722902317,-0.030926256539998153,0.05160987965501108
translation,roblus,0.0,100,0.584941069642591,0.10261581844527454,0.0,0.0
translation,roblus,0.025,100,0.5797568661658303,0.10096568885206743,-0.005184203476760644,0.008041737112056335
translation,roblus,0.05,100,0.5701424009758094,0.09843391211529104,-0.01479866866678162,0.017008738736109395
translation,roblus,0.075,100,0.5598505867494888,0.10372026604021473,-0.025090482893102103,0.0312504720116465
translation,roblus,0.1,100,0.5454080722206396,0.10386463461116327,-0.03953299742195148,0.037481326093215736
translation,roblus,0.125,100,0.5318474267465163,0.10321659094511813,-0.05309364289607466,0.04133494902367363
translation,roblus,0.15,100,0.5155100653305126,0.10668110095086196,-0.06943100431207842,0.04711328562294307
